,Tracking state,SV,Phase lock flag,Parity known flag,Code locked flag,Correlator type,SS,Reserved,Grouping,Signal type,Reserved,Primary L1 channel,Carrier phase measurement,Reserved,PRN lock flag,Channel assignment,Doppler Frequency/HZ,PSR,ADR/cycles,StdDev-PSR/m,StdDev-ADR/cycles,PRN,Lock Time/s,C/No/db-hz,Reserved
40,24,18,0,1,1,7,0,1,0,4,0,0,1,0,0,0,189599.7812,535475336.0703,13229260.8047,0.169,0.0039,38,409.375,36,2293760
41,25,12,1,1,1,7,5,1,0,4,0,1,0,0,0,0,500175.8672,518960776.0703,603153.6836,0.169,0.002,38,28676.0,20,2293760
42,20,18,0,1,1,6,4,1,0,16,0,1,1,0,0,0,859919.9375,512755872.1406,12422792.5781,9.5,0.0078,5,48898.125,20,131072
43,20,18,0,1,1,6,5,1,0,16,0,1,0,0,0,0,651071.9883,521668768.1406,1473897.7812,2.375,0.0078,5,43778.125,20,131072
44,24,18,0,1,1,6,0,1,0,16,0,0,1,0,0,0,118816.0547,20193890.1328,6057295.8086,0.169,0.002,6,6913.2812,24,196608
45,24,18,0,1,1,6,1,1,0,16,0,1,0,0,0,0,688144.0469,21766754.1328,15729367.8438,0.113,0.002,6,23591.375,28,196608
46,28,18,0,1,1,6,4,1,0,16,0,0,1,0,0,0,16063.9648,521772800.1328,6175335.6055,0.38,0.002,3,52906.9688,44,131072
47,28,18,0,1,1,6,5,1,0,16,0,1,0,0,0,0,753407.9961,521903872.1328,9847220.6875,152.0,0.0176,3,16128.625,20,65536
48,0,18,0,1,1,7,0,1,0,16,0,0,1,0,0,0,172176.0742,13819622.1328,9504028.6406,0.57,0.002,8,42707.6875,40,131072
49,0,18,0,1,1,7,1,1,0,16,0,0,0,0,0,0,933056.043,25485030.1328,2930031.7148,0.38,0.002,8,52091.6875,24,131072
50,16,18,0,1,1,7,0,1,0,16,0,0,1,0,0,0,533008.1797,33283198.1328,7371170.7695,0.169,0.002,9,5749.25,44,196608
51,16,18,0,1,1,7,1,1,0,16,0,1,0,0,0,0,928336.1016,12312190.1328,6203227.8164,0.253,0.002,9,28292.875,24,131072
52,28,18,0,1,1,7,4,1,0,16,0,1,1,0,0,0,433919.9844,521894914.1406,12534907.7773,1.281,0.002,1,29756.375,20,131072
53,28,18,0,1,1,7,5,1,0,16,0,1,0,0,0,0,188223.9414,529103874.1406,4387278.9336,1.281,0.0039,1,27926.125,20,131072
54,0,18,0,1,1,4,4,1,0,16,0,1,1,0,0,0,110640.0547,1825104.1328,15991116.5039,0.854,0.002,2,29874.5,28,131072
55,0,18,0,1,1,4,5,1,0,16,0,1,0,0,0,0,430112.0469,9034064.1328,2341763.6094,0.854,0.002,2,11026.25,20,131072
